"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"非","fēi","","2","to not be","not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must, abbr. for 非洲[Fei1 zhou1], Africa","非常","fēicháng","ㄈㄟ　ㄔㄤˊ"
"常","cháng","","2","always","ever, often, frequently, common, general, constant, surname Chang","非常","fēicháng","ㄈㄟ　ㄔㄤˊ"
"非常","fēicháng","","2","very","very much, unusual, extraordinary","","","ㄈㄟ　ㄔㄤˊ"
"工","gōng","","2","work","worker, skill, profession, trade, craft, labor","工作","gōngzuò","ㄍㄨㄥ　ㄗㄨㄛˋ"
"作","zuō","zuò","2","worker","workshop, (slang) troublesome, high-maintenance (person), to do, to grow, to write or compose, to pretend, to regard as, to feel, writings or works","工作","gōngzuò","ㄍㄨㄥ　ㄗㄨㄛˋ"
"工作","gōngzuò","","2","to work","(of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]","","","ㄍㄨㄥ　ㄗㄨㄛˋ"
"醫","yī","","2","medical","medicine, doctor, to cure, to treat","醫生","yīshēng","ㄧ　ㄕㄥ"
"醫生","yīshēng","","2","doctor","CL:個|个[ge4],位[wei4],名[ming2]","","","ㄧ　ㄕㄥ"
"院","yuàn","","2","courtyard","institution, CL:個|个[ge4]","醫院","yīyuàn","ㄧ　ㄩㄢˋ"
"醫院","yīyuàn","","2","hospital","CL:所[suo3],家[jia1],座[zuo4]","","","ㄧ　ㄩㄢˋ"
"公","gōng","","2","public","collectively owned, common, international (e.g. high seas, metric system, calendar), make public, fair, just, Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], honorable (gentlemen), father-in-law, male (animal)","公司","gōngsī","ㄍㄨㄥ　ㄙ"
"司","sī","","2","to take charge of","to manage, department (under a ministry), surname Si","公司","gōngsī","ㄍㄨㄥ　ㄙ"
"公司","gōngsī","","2","(business) company","company, firm, corporation, incorporated, CL:家[jia1]","","","ㄍㄨㄥ　ㄙ"
"賣","mài","","2","to sell","to betray, to spare no effort, to show off or flaunt","","","ㄇㄞˋ"
"準","zhǔn","","2","accurate","standard, definitely, certainly, about to become (bride, son-in-law etc), quasi-, para-","準備","zhǔnbèi","ㄓㄨㄣˇ　ㄅㄟˋ"
"備","bèi","","2","to prepare","get ready, to provide or equip","準備","zhǔnbèi","ㄓㄨㄣˇ　ㄅㄟˋ"
"準備","zhǔnbèi","","2","preparation","to prepare, to intend, to be about to, reserve (fund)","","","ㄓㄨㄣˇ　ㄅㄟˋ"
"一","yī","","2","one","1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit","一點","yīdiǎn","""ㄧ　ㄉㄧㄢˇ/ㄧ　ㄉㄧㄢˇ ㄦ"""
"點","diǎn","","2","point","dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items","一點","yīdiǎn","""ㄧ　ㄉㄧㄢˇ/ㄧ　ㄉㄧㄢˇ ㄦ"""
"一點","yīdiǎn","","2","a bit","a little, one dot, one point","","","""ㄧ　ㄉㄧㄢˇ/ㄧ　ㄉㄧㄢˇ ㄦ"""
"些","xiē","","2","some","few, several, measure word indicating a small amount or small number (greater than 1)","一些","yīxiē","ㄧ　ㄒㄧㄝ"
"一些","yīxiē","","2","some","a few, a little, (following an adjective) slightly ...er","","","ㄧ　ㄒㄧㄝ"
"本","běn","","2","root","stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc","","","ㄅㄣˇ"
"張","zhāng","","2","to open up","to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes, surname Zhang","","","ㄓㄤ"
"中","zhōng","zhòng","2","China","Chinese, within, among, in, middle, center, while (doing sth), during, (dialect) OK, all right, to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery), surname Zhong","中學","zhōngxué","ㄓㄨㄥ　ㄒㄩㄝˊ"
"學","xué","","2","to learn","to study, to imitate, science, -ology","中學","zhōngxué","ㄓㄨㄥ　ㄒㄩㄝˊ"
"中學","zhōngxué","","2","middle school","CL:個|个[ge4]","","","ㄓㄨㄥ　ㄒㄩㄝˊ"
"級","jí","","2","level","grade, rank, step (of stairs), classifier: step, level, CL:個|个[ge4]","年級","niánjí","ㄋㄧㄢˊ　ㄐㄧˊ"
"年級","niánjí","","2","grade","year (in school, college etc), CL:個|个[ge4]","","","ㄋㄧㄢˊ　ㄐㄧˊ"
"英","yīng","","2","United Kingdom","British, England, English, hero, outstanding, excellent, (literary) flower, blossom, abbr. for 英國|英国[Ying1 guo2]","英文","yīngwén","ㄧㄥ　ㄨㄣˊ"
"文","wén","","2","language","culture, writing, formal, literary, gentle, (old) classifier for coins, Kangxi radical 67, surname Wen","英文","yīngwén","ㄧㄥ　ㄨㄣˊ"
"英文","yīngwén","","2","English (language)","","","","ㄧㄥ　ㄨㄣˊ"
"紙","zhǐ","","2","paper","classifier for documents, letter etc, CL:張|张[zhang1],沓[da2]","","","ㄓˇ"
"問","wèn","","2","to ask","","問題","wèntí","ㄨㄣˋ　ㄊㄧˊ"
"題","tí","","2","topic","problem for discussion, exam question, subject, to inscribe, to mention, surname Ti, CL:個|个[ge4],道[dao4]","問題","wèntí","ㄨㄣˋ　ㄊㄧˊ"
"問題","wèntí","","2","question","problem, issue, topic, CL:個|个[ge4]","","","ㄨㄣˋ　ㄊㄧˊ"
"意","yì","","2","Italy","Italian, idea, meaning, thought, to think, wish, desire, intention, to expect, to anticipate, abbr. for 意大利[Yi4 da4 li4]","意思","yìsi","ㄧˋ　˙ㄙ"
"思","sī","","2","to think","to consider","意思","yìsi","ㄧˋ　˙ㄙ"
"意思","yìsi","","2","idea","opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, to give as a small token, to do sth as a gesture of goodwill etc, CL:個|个[ge4]","","","ㄧˋ　˙ㄙ"
"圖","tú","","2","diagram","picture, drawing, chart, map, to plan, to scheme, to attempt, to pursue, to seek, CL:張|张[zhang1]","圖書館","túshūguǎn","ㄊㄨˊ　ㄕㄨ　ㄍㄨㄢˇ"
"書","shū","","2","book","letter, document, to write, abbr. for 書經|书经[Shu1 jing1], CL:本[ben3],冊|册[ce4],部[bu4]","圖書館","túshūguǎn","ㄊㄨˊ　ㄕㄨ　ㄍㄨㄢˇ"
"館","guǎn","","2","building","shop, term for certain service establishments, embassy or consulate, schoolroom (old), CL:家[jia1]","圖書館","túshūguǎn","ㄊㄨˊ　ㄕㄨ　ㄍㄨㄢˇ"
"圖書館","túshūguǎn","","2","library","CL:家[jia1],個|个[ge4]","","","ㄊㄨˊ　ㄕㄨ　ㄍㄨㄢˇ"
"數","shǔ","shù shuò","2","to count","to count as, to regard as, to enumerate (sb's shortcomings), number, figure, several, frequently, repeatedly, CL:個|个[ge4]","數學","shùxué","ㄕㄨˋ　ㄒㄩㄝˊ"
"數學","shùxué","","2","mathematics","mathematical","","","ㄕㄨˋ　ㄒㄩㄝˊ"
"歷","lì","","2","to experience","to undergo, to pass through, all, each, every, history","歷史","lìshǐ","ㄌㄧˋ　ㄕˇ"
"史","shǐ","","2","history","annals, title of an official historian in ancient China, surname Shi","歷史","lìshǐ","ㄌㄧˋ　ㄕˇ"
"歷史","lìshǐ","","2","history","CL:門|门[men2],段[duan4]","","","ㄌㄧˋ　ㄕˇ"
"餐","cān","","2","meal","to eat, classifier for meals","餐廳","cāntīng","ㄘㄢ　ㄊㄧㄥ/ㄈㄢˋ　ㄍㄨㄢˇ"
"廳","tīng","","2","(reception) hall","living room, office, provincial government department","餐廳","cāntīng","ㄘㄢ　ㄊㄧㄥ/ㄈㄢˋ　ㄍㄨㄢˇ"
"餐廳","cāntīng","","2","dining hall","dining room, restaurant, CL:間|间[jian1],家[jia1]","","","ㄘㄢ　ㄊㄧㄥ/ㄈㄢˋ　ㄍㄨㄢˇ"
"習","xí","","2","to practice","to study, habit, surname Xi","學習","xuéxí","ㄒㄩㄝˊ　ㄒㄧˊ"
"學習","xuéxí","","2","to learn","to study","","","ㄒㄩㄝˊ　ㄒㄧˊ"
"參","sān","cān shēn","2","three (banker's anti-fraud numeral)","to take part in, to participate, to join, to attend, to counsel, unequal, varied, irregular, uneven, not uniform, ginseng, one of the 28 constellations, abbr. for 參議院|参议院 Senate, Upper House","參加","cānjiā","ㄘㄢ　ㄐㄧㄚ"
"加","jiā","","2","to add","plus, (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned), to apply (restrictions etc) to (sb), to give (support, consideration etc) to (sth), abbr. for Canada 加拿大[Jia1 na2 da4], surname Jia","參加","cānjiā","ㄘㄢ　ㄐㄧㄚ"
"參加","cānjiā","","2","to participate","to take part, to join","","","ㄘㄢ　ㄐㄧㄚ"
"畫","huà","","2","to draw","picture, painting, classifier for paintings etc, CL:幅[fu2],張|张[zhang1], variant of 劃|划[hua4]","","","ㄏㄨㄚˋ"
"讀","dú","","2","comma","phrase marked by pause, to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]","","","ㄉㄨˊ"
"會","huì","","2","can","to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, a moment (Taiwan pr. for this sense is [hui3]), to balance an account, accountancy, accounting, CL:個|个[ge4]","","","ㄏㄨㄟˋ"
"有","yǒu","","2","to have","there is, there are, to exist, to be","有趣","yǒuqù","ㄧㄡˇ　ㄑㄩˋ"
"趣","qù","","2","interesting","to interest","有趣","yǒuqù","ㄧㄡˇ　ㄑㄩˋ"
"有趣","yǒuqù","","2","interesting","fascinating, amusing","","","ㄧㄡˇ　ㄑㄩˋ"
"為","wéi","wèi","2","as (in the capacity of)","to take sth as, to act as, to serve as, to behave as, to become, to be, to do, by (in the passive voice), because of, for, to","為什麼","wèishénme","ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ"
"什","shén","shí","2","what","ten (used in fractions, writing checks etc), assorted, miscellaneous","為什麼","wèishénme","ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ"
"麼","má","ma me mó","2","exclamatory final particle","interrogative final particle, suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc, tiny, insignificant, variant of 麼|么[me5]","為什麼","wèishénme","ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ"
"為什麼","wèishénme","","2","why?","for what reason?","","","ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ"
"下","xià","","2","down","downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action","下課","xiàkè","ㄒㄧㄚˋ　ㄎㄜˋ"
"課","kè","","2","subject","course, class, lesson, to levy, tax, form of divination, CL:門|门[men2], CL:堂[tang2],節|节[jie2]","下課","xiàkè","ㄒㄧㄚˋ　ㄎㄜˋ"
"下課","xiàkè","","2","to finish class","to get out of class","","","ㄒㄧㄚˋ　ㄎㄜˋ"
"說","shuì","shuō","2","to persuade","to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)","說話","shuōhuà","ㄕㄨㄛ　ㄏㄨㄚˋ"
"話","huà","","2","dialect","language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]","說話","shuōhuà","ㄕㄨㄛ　ㄏㄨㄚˋ"
"說話","shuōhuà","","2","to speak","to say, to talk, to gossip, to tell stories, talk, word","","","ㄕㄨㄛ　ㄏㄨㄚˋ"
"考","kǎo","","2","to beat","to hit, to inspect, to test, to take an exam, to check, to verify, to test, to examine, to take an exam, to take an entrance exam for, deceased father, variant of 考[kao3]","考試","kǎoshì","ㄎㄠˇ　ㄕˋ"
"試","shì","","2","to test","to try, experiment, examination, test","考試","kǎoshì","ㄎㄠˇ　ㄕˋ"
"考試","kǎoshì","","2","to take an exam","exam, CL:次[ci4]","","","ㄎㄠˇ　ㄕˋ"
"懂","dǒng","","2","to understand","to comprehend","","","ㄉㄨㄥˇ"
"氣","qì","","2","gas","air, smell, weather, to make angry, to annoy, to get angry, vital energy, qi","天氣","tiānqì","ㄊㄧㄢ　ㄑㄧˋ"
"天氣","tiānqì","","2","weather","","","","ㄊㄧㄢ　ㄑㄧˋ"
"房","fáng","","2","house","room, branch of an extended family, classifier for family members (or concubines), surname Fang, CL:間|间[jian1]","房子","fángzi","ㄈㄤˊ　˙ㄗ"
"房子","fángzi","","2","house","building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]","","","ㄈㄤˊ　˙ㄗ"
"門","mén","","2","gate","door, gateway, doorway, opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate), surname Men, CL:扇[shan4], CL:個|个[ge4]","","","ㄇㄣˊ"
"山","shān","","2","mountain","hill, anything that resembles a mountain, bundled straw in which silkworms spin cocoons, gable, surname Shan, CL:座[zuo4]","","","ㄕㄢ"
"客","kè","","2","customer","visitor, guest","客廳","kètīng","ㄎㄜˋ　ㄊㄧㄥ"
"客廳","kètīng","","2","drawing room (room for arriving guests)","living room, CL:間|间[jian1]","","","ㄎㄜˋ　ㄊㄧㄥ"
"河","hé","","2","river","CL:條|条[tiao2],道[dao4]","","","ㄏㄜˊ"
"狗","gǒu","","2","dog","CL:隻|只[zhi1],條|条[tiao2]","","","ㄍㄡˇ"
"花","huā","","2","flower","blossom, also pr. [wei3], variant of 花[hua1]","","","ㄏㄨㄚ"
"風","fēng","","2","wind","news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]","","","ㄈㄥ"
"海","hǎi","","2","ocean","sea, great number of people or things, (dialect) numerous, surname Hai, CL:個|个[ge4],片[pian4]","","","ㄏㄞˇ"
"魚","yú","","2","fish","surname Yu, CL:條|条[tiao2],尾[wei3]","","","ㄩˊ"
"樹","shù","","2","tree","to cultivate, to set up, CL:棵[ke1]","","","ㄕㄨˋ"
"開","kāi","","2","to open","to start, to turn on, to boil, to write out (a prescription, check, invoice etc), to operate (a vehicle), carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format","","","ㄎㄞ"
"冷","lěng","","2","cold","surname Leng","","","ㄌㄥˇ"
"熱","rè","","2","to warm up","to heat up, hot (of weather), heat, fervent","","","ㄖㄜˋ"
"洗","xǐ","","2","to wash","to bathe, to develop (photo)","洗澡","xǐzǎo","ㄒㄧˇ　ㄗㄠˇ"
"澡","zǎo","","2","bath","","洗澡","xǐzǎo","ㄒㄧˇ　ㄗㄠˇ"
"洗澡","xǐzǎo","","2","to bathe","to take a shower","","","ㄒㄧˇ　ㄗㄠˇ"
"咖","kā","","2","coffee","class, grade","咖啡","kāfēi","ㄎㄚ　ㄈㄟ"
"啡","fēi","","2","(phonetic component)","","咖啡","kāfēi","ㄎㄚ　ㄈㄟ"
"咖啡","kāfēi","","2","coffee (loanword)","CL:杯[bei1]","","","ㄎㄚ　ㄈㄟ"
"茶","chá","","2","tea","tea plant, CL:杯[bei1],壺|壶[hu2]","","","ㄔㄚˊ"
"活","huó","","2","to live","alive, living, work, workmanship","生活","shēnghuó","ㄕㄥ　ㄏㄨㄛˊ"
"生活","shēnghuó","","2","life","activity, to live, livelihood","","","ㄕㄥ　ㄏㄨㄛˊ"
"用","yòng","","2","to use","to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore","","","ㄩㄥˋ"
"穿","chuān","","2","to wear","to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread","","","ㄔㄨㄢ"
"起","qǐ","","2","to rise","to raise, to get up, to set out, to start, to appear, to launch, to initiate (action), to draft, to establish, to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance, classifier for groups: batch, group","起床","qǐchuáng","ㄑㄧˇ　ㄔㄨㄤˊ"
"床","chuáng","","2","variant of 床[chuang2]","","起床","qǐchuáng","ㄑㄧˇ　ㄔㄨㄤˊ"
"起床","qǐchuáng","","2","to get out of bed","to get up","","","ㄑㄧˇ　ㄔㄨㄤˊ"
"方","fāng","","2","square","power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, surname Fang, abbr. for square or cubic meter","方便","fāngbiàn","ㄈㄤ　ㄅㄧㄢˋ"
"便","biàn","pián","2","plain","informal, suitable, convenient, opportune, to urinate or defecate, equivalent to 就[jiu4]: then, in that case, even if, soon afterwards, see 便宜|便宜[pian2 yi5]","方便","fāngbiàn","ㄈㄤ　ㄅㄧㄢˋ"
"方便","fāngbiàn","","2","convenient","suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself","","","ㄈㄤ　ㄅㄧㄢˋ"
"睡","shuì","","2","to sleep","to lie down","睡覺","shuìjiào","ㄕㄨㄟˋ　ㄐㄧㄠˋ"
"覺","jiào","jué","2","a nap","a sleep, to feel, to find that, thinking, awake, aware, CL:場|场[chang2]","睡覺","shuìjiào","ㄕㄨㄟˋ　ㄐㄧㄠˋ"
"睡覺","shuìjiào","","2","to go to bed","to sleep","","","ㄕㄨㄟˋ　ㄐㄧㄠˋ"
"常常","chángcháng","","2","frequently","often","","","ㄔㄤˊ　ㄔㄤˊ"
"每","měi","","2","each","every","","","ㄇㄟˇ"
"次","cì","","2","next in sequence","second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time","","","ㄘˋ"
"音","yīn","","2","sound","noise, note (of musical scale), tone, news, syllable, reading (phonetic value of a character)","音樂","yīnyuè","ㄧㄣ　ㄩㄝˋ"
"音樂","yīnyuè","","2","music","CL:張|张[zhang1],曲[qu3],段[duan4]","","","ㄧㄣ　ㄩㄝˋ"
