"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"上","shàng","","2","on top","upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university), see 上聲|上声[shang3 sheng1]","","","""ㄕㄤˋ  (˙ㄇㄧㄢ)"""
"外","wài","","2","outside","in addition, foreign, external","","","ㄨㄞˋ　(˙ㄇㄧㄢ)"
"前","qián","","2","front","forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly","","","ㄑㄧㄢˊ　(˙ㄇㄧㄢ)"
"後","hòu","","2","back","behind, rear, afterwards, after, later","","","ㄏㄡˋ　(˙ㄇㄧㄢ)"
"右","yòu","","2","right (-hand)","the Right (politics), west (old)","右邊","yòubiān","ㄧㄡˋ　ㄅㄧㄢ"
"邊","biān","bian","2","side","edge, margin, border, boundary, simultaneously, suffix of a noun of locality, CL:個|个[ge4]","右邊","yòubiān","ㄧㄡˋ　ㄅㄧㄢ"
"右邊","yòubiān","","2","right side","right, to the right","","","ㄧㄡˋ　ㄅㄧㄢ"
"左","zuǒ","","2","left","the Left (politics), east, unorthodox, queer, wrong, differing, opposite, surname Zuo, variant of 佐[zuo3]","左邊","zuǒbiān","ㄗㄨㄛˇ　ㄅㄧㄢ"
"左邊","zuǒbiān","","2","left","the left side, to the left of","","","ㄗㄨㄛˇ　ㄅㄧㄢ"
"旁","páng","","2","beside","one side, other, side, self, the right-hand side of split Chinese character, often the phonetic","旁邊","pángbiān","ㄆㄤˊ　ㄅㄧㄢ"
"旁邊","pángbiān","","2","lateral","side, to the side, beside","","","ㄆㄤˊ　ㄅㄧㄢ"
"間","jiān","jiàn","2","between","among, within a definite time or space, room, section of a room or lateral space between two pairs of pillars, classifier for rooms, gap, to separate, to thin out (seedlings), to sow discontent","中間","zhōngjiān","ㄓㄨㄥ　ㄐㄧㄢ"
"中間","zhōngjiān","","2","between","intermediate, mid, middle","","","ㄓㄨㄥ　ㄐㄧㄢ"
"地","de","dì","2","-ly","structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct, earth, ground, field, place, land, CL:片[pian4]","地鐵","dìtiě","ㄉㄧˋ　ㄊㄧㄝˇ"
